Codigo;Rubro;Detalle Articulo;Minorista;Mayorista;AMODIL;EL TANO;VIVANCO;GLORIAS;POMPEYA;BRAZZI;JUANCHOS;GUERE GUERE/ABUELO;TUTTO SAN FER;RINCON / LINIERS;JOAQUIN CHINO;VILLA TERRA;;;Costeo Mercaderia sin MO;Gastos Generales Sacado del informe mensual;Costo Total ;;;;;;;;;
0818;TORTAS;CHOCOTORTA; $ 24.500,00 ; $ 21.010,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 18.909,00 ; $ 15.850,00 ; $ -   ; $ 12.210,00 ; $ 15.840,00 ; $ 12.250,00 ;;; $ 5.326,53 ; $ 1.331,63 ; $ 6.658,16 ;;;0818;TORTAS;CHOCOTORTA;;;;
0819;TORTAS;TORTAS GRANDES DE CUMPLEAÑOS ( PEDIDO X KG ); $ 27.900,00 ; $ 20.570,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 18.513,00 ; $ 15.850,00 ; $ -   ; $ -   ; $ 15.840,00 ; $ 13.950,00 ;;; $ -   ; $ -   ; $ -   ;;;0819;TORTAS;TORTAS GRANDES DE CUMPLEAÑOS ( PEDIDO X KG );;;;
0820;TORTAS;CHAJA ; $ 24.500,00 ; $ 20.570,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 18.513,00 ; $ 20.930,00 ; $ -   ; $ 17.600,00 ; $ 21.010,00 ; $ 12.250,00 ;;; $ 11.306,20 ; $ 2.826,55 ; $ 14.132,75 ;;;0820;TORTAS;CHAJA ;;;;
0821;TORTAS;OREO; $ 24.500,00 ; $ 21.010,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 18.909,00 ; $ 15.850,00 ; $ -   ; $ 14.080,00 ; $ 15.840,00 ; $ 12.250,00 ;;; $ 5.512,50 ; $ 1.378,12 ; $ 6.890,62 ;;;0821;TORTAS;OREO;;;;
0826;TORTAS;MOLINO CHOCOLATE; $ 24.000,00 ; $ 20.570,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 18.513,00 ; $ 13.190,00 ; $ -   ; $ 12.540,00 ; $ 13.090,00 ; $ 12.000,00 ;;; $ 4.145,82 ; $ 1.036,45 ; $ 5.182,27 ;;;0826;TORTAS;MOLINO CHOCOLATE;;;;
0827;TORTAS;BALCARCE; $ 24.000,00 ; $ 20.570,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 18.513,00 ; $ 13.190,00 ; $ -   ; $ 12.540,00 ; $ 13.090,00 ; $ 12.000,00 ;;; $ 9.004,24 ; $ 2.251,06 ; $ 11.255,30 ;;;0827;TORTAS;BALCARCE;;;;
0828;TORTAS;ADRIANA; $ 24.000,00 ; $ 20.570,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 18.513,00 ; $ 13.190,00 ; $ -   ; $ 12.540,00 ; $ 13.090,00 ; $ 12.000,00 ;;; $ 7.130,99 ; $ 1.782,75 ; $ 8.913,74 ;;;0828;TORTAS;ADRIANA;;;;
0829;TORTAS;ROGEL; $ 24.000,00 ; $ 20.570,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 18.513,00 ; $ 13.190,00 ; $ -   ; $ 12.540,00 ; $ 13.090,00 ; $ 12.000,00 ;;; $ 9.231,98 ; $ 2.307,99 ; $ 11.539,97 ;;;0829;TORTAS;ROGEL;;;;
0830;TORTAS;COCO CON DDL; $ 20.000,00 ; $ 15.840,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 14.256,00 ; $ 13.190,00 ; $ -   ; $ 8.910,00 ; $ 13.090,00 ; $ 10.000,00 ;;; $ 3.069,16 ; $ 767,29 ; $ 3.836,45 ;;;0830;TORTAS;COCO CON DDL;;;;
0831;TORTAS;PASTA FROLA MEMBRILLO; $ 10.600,00 ; $ 5.940,00 ; $ 5.940,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 5.346,00 ; $ 5.320,00 ; $ -   ; $ 4.510,00 ; $ 5.170,00 ; $ 5.300,00 ;;; $ 1.770,67 ; $ 442,67 ; $ 2.213,34 ;;;0831;TORTAS;PASTA FROLA MEMBRILLO;;;;
0832;TORTAS;CHESE CAKE MARACUYA; $ 24.000,00 ; $ 20.790,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 18.711,00 ; $ 15.850,00 ; $ -   ; $ 11.660,00 ; $ 15.840,00 ; $ 12.000,00 ;;; $ 6.730,07 ; $ 1.682,52 ; $ 8.412,58 ;;;0832;TORTAS;CHESE CAKE MARACUYA;;;;
0833;TORTAS;CHESE CAKE FRUTILLA; $ 24.000,00 ; $ 20.790,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 18.711,00 ; $ 15.850,00 ; $ -   ; $ 11.660,00 ; $ 15.840,00 ; $ 12.000,00 ;;; $ 6.823,73 ; $ 1.705,93 ; $ 8.529,67 ;;;0833;TORTAS;CHESE CAKE FRUTILLA;;;;
0834;TORTAS;CHESE CAKE FRUTOS ROJOS; $ 24.000,00 ; $ 20.790,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 18.711,00 ; $ 15.850,00 ; $ -   ; $ 11.660,00 ; $ 15.840,00 ; $ 12.000,00 ;;; $ 6.730,07 ; $ 1.682,52 ; $ 8.412,58 ;;;0834;TORTAS;CHESE CAKE FRUTOS ROJOS;;;;
0835;TORTAS;SELVA NEGRA; $ 24.000,00 ; $ 20.570,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 18.513,00 ; $ 20.930,00 ; $ -   ; $ 15.290,00 ; $ 21.010,00 ; $ 12.000,00 ;;; $ 12.134,99 ; $ 3.033,75 ; $ 15.168,73 ;;;0835;TORTAS;SELVA NEGRA;;;;
0836;TORTAS;TOFFY C CHOCOLATE BLANCO; $ 17.700,00 ; $ 14.300,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 12.870,00 ; $ -   ; $ -   ; $ 10.010,00 ; $ -   ; $ 8.850,00 ;;; $ 5.756,86 ; $ 1.439,22 ; $ 7.196,08 ;;;0836;TORTAS;TOFFY C CHOCOLATE BLANCO;;;;
0837;TORTAS;TORTA SANDWICH; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 35.200,00 ; $ -   ; $ -   ;;; $ 17.443,75 ; $ 4.360,94 ; $ 21.804,68 ;;;0837;TORTAS;TORTA SANDWICH;;;;
0838;TORTAS;COCO CON DDL ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ;;;  ;;;;;0838;TORTAS;COCO CON DDL ;;;;
0839;TORTAS;IGLU DE CHOCOLATE; $ 24.000,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 11.660,00 ; $ -   ; $ 12.000,00 ;;;  ;;;;;0839;TORTAS;IGLU DE CHOCOLATE;;;;
0840;TORTAS;KEY LIME; $ 24.000,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 11.660,00 ; $ -   ; $ 12.000,00 ;;;  ;;;;;0840;TORTAS;KEY LIME;;;;
0823;TORTAS;VELAS FINAS; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ;;; $ -   ; $ -   ; $ -   ;;;0823;TORTAS;VELAS FINAS;;;;
0824;TORTAS;VELAS NUMEROS; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ;;; $ -   ; $ -   ; $ -   ;;;0824;TORTAS;VELAS NUMEROS;;;;
0825;TORTAS;BENGALAS; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ;;; $ -   ; $ -   ; $ -   ;;;0825;TORTAS;BENGALAS;;;;
0841;TORTAS;MATILDA; $ 30.300,00 ; $ 26.950,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 24.255,00 ; $ -   ; $ -   ; $ 18.700,00 ; $ -   ; $ 15.150,00 ;;;  ;;;;;0841;TORTAS;MATILDA;;;;
0842;TORTAS;SUIZA; $ 18.900,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 10.780,00 ; $ -   ; $ 9.450,00 ;;;  ;;;;;0842;TORTAS;SUIZA;;;;
0843;TORTAS;CHEESE PISTACHO; $ 37.600,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 21.560,00 ; $ -   ; $ 18.800,00 ;;;  ;;;;;0843;TORTAS;CHEESE PISTACHO;;;;
0844;TORTAS;KEY LINE PIE; $ 21.600,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 12.320,00 ; $ -   ; $ 10.800,00 ;;;  ;;;;;0844;TORTAS;KEY LINE PIE;;;;
0845;TORTAS;BIZCOCHUELO VAINILLA C/DURAZNO; $ 20.200,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 11.660,00 ; $ -   ; $ 10.100,00 ;;;  ;;;;;0845;TORTAS;BIZCOCHUELO VAINILLA C/DURAZNO;;;;
0846;TORTAS;CHEESE CAKE FRUTOS ROJOS BETTY; $ 27.500,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 23.100,00 ; $ -   ; $ 13.750,00 ;;;  ;;;;;0846;TORTAS;CHEESE CAKE FRUTOS ROJOS BETTY;;;;
0847;TORTAS;BIZCOCHUELO C/DDL Y CREMA; $ 16.200,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 9.020,00 ; $ -   ; $ 8.100,00 ;;;  ;;;;;0847;TORTAS;BIZCOCHUELO C/DDL Y CREMA;;;;
0848;TORTAS;MARQUISE; $ 18.900,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 10.780,00 ; $ -   ; $ 9.450,00 ;;;  ;;;;;0848;TORTAS;MARQUISE;;;;
;;PORCIONES; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ;;;  ;  ;  ;;;;;PORCIONES;;;;
0901;PORCIONES;BROWNIE Y LIMON COOKIES  PORCIONES; $ 3.600,00 ; $ 2.530,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 2.277,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ 1.800,00 ;;; $ -   ; $ -   ; $ -   ;;;0901;PORCIONES;BROWNIE Y LIMON COOKIES  PORCIONES;;;;
0902;PORCIONES;BROWNIE SECO PORCION; $ 4.000,00 ; $ 2.860,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 2.574,00 ; $ 3.030,00 ; $ -   ; $ 2.750,00 ; $ 2.970,00 ; $ 2.000,00 ;;; $ 644,81 ; $ 161,20 ; $ 806,01 ;;;0902;PORCIONES;BROWNIE SECO PORCION;;;;
0903;PORCIONES;RICOTA PORCION; $ 5.600,00 ; $ 3.960,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 4.840,00 ; $ 3.564,00 ; $ 3.630,00 ; $ -   ; $ 3.630,00 ; $ 3.740,00 ; $ 2.800,00 ;;; $ 1.337,58 ; $ 334,39 ; $ 1.671,97 ;;;0903;PORCIONES;RICOTA PORCION;;;;
0904;PORCIONES;MANZANA PORCION; $ 5.300,00 ; $ 3.960,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 3.564,00 ; $ 4.360,00 ; $ -   ; $ 2.420,00 ; $ 4.290,00 ; $ 2.650,00 ;;; $ 793,84 ; $ 198,46 ; $ 992,30 ;;;0904;PORCIONES;MANZANA PORCION;;;;
0905;PORCIONES;FROLA  PORCION; $ 3.200,00 ; $ 2.200,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 1.980,00 ; $ 2.060,00 ; $ -   ; $ 1.430,00 ; $ 1.980,00 ; $ 1.600,00 ;;; $ 796,80 ; $ 199,20 ; $ 996,00 ;;;0905;PORCIONES;FROLA  PORCION;;;;
0907;PORCIONES;MIL HOJAS  PORCION; $ 7.700,00 ; $ 5.940,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 5.346,00 ; $ -   ; $ -   ; $ 3.190,00 ; $ -   ; $ 3.850,00 ;;; $ 1.011,65 ; $ 252,91 ; $ 1.264,56 ;;;0907;PORCIONES;MIL HOJAS  PORCION;;;;
0908;PORCIONES;BIZCOCHUELO PORCION; $ 7.300,00 ; $ 5.280,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 4.752,00 ; $ 4.720,00 ; $ -   ; $ 3.630,00 ; $ 4.840,00 ; $ 3.650,00 ;;; $ -   ; $ -   ; $ -   ;;;0908;PORCIONES;BIZCOCHUELO PORCION;;;;
0928;PORCIONES;BIZCOCHUELO PORCION CON PISTACHO; $ 8.000,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 4.000,00 ;;;  ;;;;;0928;PORCIONES;BIZCOCHUELO PORCION CON PISTACHO;;;;
0909;PORCIONES;MOUSSE  PORCION; $ 7.300,00 ; $ 5.940,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 5.346,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ 3.650,00 ;;; $ -   ; $ -   ; $ -   ;;;0909;PORCIONES;MOUSSE  PORCION;;;;
0911;PORCIONES;CHOCOTORTA  PORCION; $ 7.300,00 ; $ 5.940,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 5.346,00 ; $ -   ; $ -   ; $ 5.060,00 ; $ -   ; $ 3.650,00 ;;; $ -   ; $ -   ; $ -   ;;;0911;PORCIONES;CHOCOTORTA  PORCION;;;;
0912;PORCIONES;LIMON ALMACEN PAN  PORCION; $ 2.200,00 ; $ 1.870,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 2.310,00 ; $ 1.683,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ 1.100,00 ;;; $ -   ; $ -   ; $ -   ;;;0912;PORCIONES;LIMON ALMACEN PAN  PORCION;;;;
0913;PORCIONES;TIRAMISU  PORCION; $ 7.300,00 ; $ 6.380,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 5.742,00 ; $ -   ; $ -   ; $ 3.630,00 ; $ -   ; $ 3.650,00 ;;; $ -   ; $ -   ; $ -   ;;;0913;PORCIONES;TIRAMISU  PORCION;;;;
0906;PORCIONES;LINGOTES; $ 6.800,00 ; $ 4.730,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 4.257,00 ; $ 4.720,00 ; $ -   ; $ 3.630,00 ; $ 4.840,00 ; $ 3.400,00 ;;; $ -   ; $ -   ; $ -   ;;;0906;PORCIONES;LINGOTES;;;;
0914;PORCIONES;LINGOTE CARROT CAKE ; $ 6.800,00 ; $ 4.730,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 4.257,00 ; $ 4.720,00 ; $ -   ; $ 3.630,00 ; $ 4.840,00 ; $ 3.400,00 ;;; $ -   ; $ -   ; $ -   ;;;0914;PORCIONES;LINGOTE CARROT CAKE ;;;;
0915;PORCIONES;LINGOTES CHOCOTORTA; $ 6.800,00 ; $ 4.730,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 4.257,00 ; $ 4.720,00 ; $ -   ; $ 3.630,00 ; $ 4.840,00 ; $ 3.400,00 ;;; $ 1.579,14 ; $ 394,79 ; $ 1.973,93 ;;;0915;PORCIONES;LINGOTES CHOCOTORTA;;;;
0916;PORCIONES;LINGOTES OREO; $ 6.800,00 ; $ 4.730,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 4.257,00 ; $ 4.720,00 ; $ -   ; $ 3.630,00 ; $ 4.840,00 ; $ 3.400,00 ;;; $ 1.093,95 ; $ 273,49 ; $ 1.367,44 ;;;0916;PORCIONES;LINGOTES OREO;;;;
0917;PORCIONES;LINGOTES KEY LINE; $ 6.800,00 ; $ 4.730,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 4.257,00 ; $ 4.720,00 ; $ -   ; $ 3.630,00 ; $ 4.840,00 ; $ 3.400,00 ;;; $ 1.832,34 ; $ 458,09 ; $ 2.290,43 ;;;0917;PORCIONES;LINGOTES KEY LINE;;;;
0918;PORCIONES;LINGOTES BROWNIE; $ 6.800,00 ; $ 4.730,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 4.257,00 ; $ 4.720,00 ; $ -   ; $ 3.630,00 ; $ 4.840,00 ; $ 3.400,00 ;;; $ -   ; $ -   ; $ -   ;;;0918;PORCIONES;LINGOTES BROWNIE;;;;
0927;PORCIONES;LINGOTES RED VELVET; $ 6.800,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 3.400,00 ;;;  ;;;;;0927;PORCIONES;LINGOTES RED VELVET;;;;
0910;PORCIONES;CHEESE CAKE MINI; $ 6.800,00 ; $ 5.830,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 5.247,00 ; $ -   ; $ -   ; $ 3.960,00 ; $ -   ; $ 3.400,00 ;;; $ 1.264,16 ; $ 316,04 ; $ 1.580,20 ;;;0910;PORCIONES;CHEESE CAKE MINI;;;;
0919;PORCIONES;CHEESE CAKE MINI TRADICIONAL; $ 6.800,00 ; $ 4.730,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 4.257,00 ; $ 4.720,00 ; $ -   ; $ 3.960,00 ; $ 4.840,00 ; $ 3.400,00 ;;; $ 1.264,16 ; $ 316,04 ; $ 1.580,20 ;;;0919;PORCIONES;CHEESE CAKE MINI TRADICIONAL;;;;
0920;PORCIONES;CHEESE CAKE MINI FRUTILLA; $ 6.800,00 ; $ 4.730,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 4.257,00 ; $ 4.720,00 ; $ -   ; $ 3.960,00 ; $ 4.840,00 ; $ 3.400,00 ;;; $ 1.344,16 ; $ 336,04 ; $ 1.680,20 ;;;0920;PORCIONES;CHEESE CAKE MINI FRUTILLA;;;;
0921;PORCIONES;CHEESE CAKE MINI OREO; $ 6.800,00 ; $ 4.730,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 4.257,00 ; $ 4.720,00 ; $ -   ; $ 3.960,00 ; $ 4.840,00 ; $ 3.400,00 ;;; $ 1.269,09 ; $ 317,27 ; $ 1.586,36 ;;;0921;PORCIONES;CHEESE CAKE MINI OREO;;;;
0922;PORCIONES;CHEESE CAKE MINI TIRAMISU; $ 6.800,00 ; $ 4.730,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 4.257,00 ; $ 4.720,00 ; $ -   ; $ 3.960,00 ; $ 4.840,00 ; $ 3.400,00 ;;; $ 1.285,95 ; $ 321,49 ; $ 1.607,44 ;;;0922;PORCIONES;CHEESE CAKE MINI TIRAMISU;;;;
0923;PORCIONES;CHEESE CAKE MINI MOUSE; $ 6.800,00 ; $ 4.730,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 4.257,00 ; $ 4.720,00 ; $ -   ; $ 3.960,00 ; $ 4.840,00 ; $ 3.400,00 ;;; $ -   ; $ -   ; $ -   ;;;0923;PORCIONES;CHEESE CAKE MINI MOUSE;;;;
0924;PORCIONES;COCO CON DDL; $ 5.600,00 ; $ 4.840,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 4.356,00 ; $ -   ; $ -   ; $ 4.510,00 ; $ -   ; $ 2.800,00 ;;; $ -   ; $ -   ; $ -   ;;;0924;PORCIONES;COCO CON DDL;;;;
0925;PORCIONES;FROLA  PORCION - MEMBRILLO-; $ 3.200,00 ; $ 2.200,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 1.980,00 ; $ 2.060,00 ; $ -   ; $ 1.430,00 ; $ 1.980,00 ; $ 1.600,00 ;;; $ 796,80 ; $ 199,20 ; $ 996,00 ;;;0925;PORCIONES;FROLA  PORCION - MEMBRILLO-;;;;
0926;PORCIONES;FROLA  PORCION -BATATA-; $ 3.200,00 ; $ 2.200,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 1.980,00 ; $ 2.060,00 ; $ -   ; $ 1.430,00 ; $ 1.980,00 ; $ 1.600,00 ;;; $ 873,20 ; $ 218,30 ; $ 1.091,50 ;;;0926;PORCIONES;FROLA  PORCION -BATATA-;;;;
0927;PORCIONES;RED  VELVET PORCION; $ 6.700,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 3.740,00 ; $ -   ; $ 3.350,00 ;;;  ;;;;;0927;PORCIONES;RED  VELVET PORCION;;;;
0928;PORCIONES;MATILDA PORCION; $ 6.700,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 3.080,00 ; $ -   ; $ 3.350,00 ;;;  ;;;;;0928;PORCIONES;MATILDA PORCION;;;;
0929;PORCIONES;CARROT CAKE PORCION; $ 6.700,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 2.200,00 ; $ -   ; $ 3.350,00 ;;;  ;;;;;0929;PORCIONES;CARROT CAKE PORCION;;;;
;;TORTAS INDIVIDUALES; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ;;;  ;  ;  ;;;;;TORTAS INDIVIDUALES;;;;
1001;TORTAS INDIVIDUALES;FLORA INDIVIDUAL MEMBRILLO; $ 5.200,00 ; $ 4.180,00 ; $ -   ; $ -   ; $ -   ; $ 3.300,00 ; $ -   ; $ -   ; $ 3.762,00 ; $ 2.540,00 ; $ -   ; $ 2.310,00 ; $ 2.530,00 ; $ 2.600,00 ;;; $ 796,80 ; $ 199,20 ; $ 996,00 ;;;1001;TORTAS INDIVIDUALES;FLORA INDIVIDUAL MEMBRILLO;;;;
1002;TORTAS INDIVIDUALES;RICOTA INDIVIDUAL; $ 6.500,00 ; $ 5.500,00 ; $ -   ; $ -   ; $ -   ; $ 4.620,00 ; $ -   ; $ -   ; $ 4.950,00 ; $ 5.320,00 ; $ -   ; $ 4.070,00 ; $ 5.170,00 ; $ 3.250,00 ;;; $ 1.762,29 ; $ 440,57 ; $ 2.202,86 ;;;1002;TORTAS INDIVIDUALES;RICOTA INDIVIDUAL;;;;
1003;TORTAS INDIVIDUALES;LEMON PIE INDIVIDUAL; $ 7.900,00 ; $ 6.930,00 ; $ -   ; $ -   ; $ -   ; $ 5.610,00 ; $ -   ; $ -   ; $ 6.237,00 ; $ 5.320,00 ; $ -   ; $ 5.060,00 ; $ 5.170,00 ; $ 3.950,00 ;;; $ 1.508,33 ; $ 377,08 ; $ 1.885,41 ;;;1003;TORTAS INDIVIDUALES;LEMON PIE INDIVIDUAL;;;;
1004;TORTAS INDIVIDUALES;MANZANA INDIVIDUAL; $ 7.900,00 ; $ 6.930,00 ; $ -   ; $ -   ; $ -   ; $ 5.610,00 ; $ -   ; $ -   ; $ 6.237,00 ; $ 5.320,00 ; $ -   ; $ 4.620,00 ; $ 5.170,00 ; $ 3.950,00 ;;; $ 1.418,26 ; $ 354,57 ; $ 1.772,83 ;;;1004;TORTAS INDIVIDUALES;MANZANA INDIVIDUAL;;;;
1005;TORTAS INDIVIDUALES;FRUTILLA INDIVIDUAL; $ 7.900,00 ; $ 6.930,00 ; $ -   ; $ -   ; $ -   ; $ 5.610,00 ; $ -   ; $ -   ; $ 6.237,00 ; $ 5.320,00 ; $ -   ; $ 4.620,00 ; $ 5.170,00 ; $ 3.950,00 ;;; $ 3.894,71 ; $ 973,68 ; $ 4.868,39 ;;;1005;TORTAS INDIVIDUALES;FRUTILLA INDIVIDUAL;;;;
1006;TORTAS INDIVIDUALES;BROWNIE CON ROCKLERST  INDIVIDUAL; $ 7.900,00 ; $ 6.930,00 ; $ -   ; $ -   ; $ -   ; $ 5.610,00 ; $ -   ; $ -   ; $ 6.237,00 ; $ 5.320,00 ; $ -   ; $ 4.620,00 ; $ 5.170,00 ; $ 3.950,00 ;;; $ -   ; $ -   ; $ -   ;;;1006;TORTAS INDIVIDUALES;BROWNIE CON ROCKLERST  INDIVIDUAL;;;;
1007;TORTAS INDIVIDUALES;CABSHA  INDIVIDUAL; $ 7.300,00 ; $ 6.380,00 ; $ -   ; $ -   ; $ -   ; $ 5.280,00 ; $ -   ; $ -   ; $ 5.742,00 ; $ 5.320,00 ; $ -   ; $ 3.960,00 ; $ 5.170,00 ; $ 3.650,00 ;;; $ 2.127,74 ; $ 531,94 ; $ 2.659,68 ;;;1007;TORTAS INDIVIDUALES;CABSHA  INDIVIDUAL;;;;
1008;TORTAS INDIVIDUALES;TOFFY  INDIVUAL; $ 7.300,00 ; $ 6.380,00 ; $ -   ; $ -   ; $ -   ; $ 5.280,00 ; $ -   ; $ -   ; $ 5.742,00 ; $ 5.320,00 ; $ -   ; $ 3.960,00 ; $ 5.170,00 ; $ 3.650,00 ;;; $ 2.556,67 ; $ 639,17 ; $ 3.195,84 ;;;1008;TORTAS INDIVIDUALES;TOFFY  INDIVUAL;;;;
1009;TORTAS INDIVIDUALES;COPITO  INDIVIDUAL; $ 7.300,00 ; $ 6.380,00 ; $ -   ; $ -   ; $ -   ; $ 5.280,00 ; $ -   ; $ -   ; $ 5.742,00 ; $ 5.320,00 ; $ -   ; $ 3.960,00 ; $ 5.170,00 ; $ 3.650,00 ;;; $ 2.340,56 ; $ 585,14 ; $ 2.925,71 ;;;1009;TORTAS INDIVIDUALES;COPITO  INDIVIDUAL;;;;
